link_text,full_url
Explore Close,https://www.close.com/product
CRM,https://www.close.com/crm
Close Demo,https://www.close.com/demo
Communication,https://www.close.com/communication
Automation,https://www.close.com/automation
Sales AI,https://www.close.com/ai-crm
Integrations,https://www.close.com/integrations
Reporting,https://www.close.com/reporting
Coaching and Collaboration,https://www.close.com/coaching
Pricing,https://www.close.com/pricing
Blog,https://www.close.com/blog
Resources,https://www.close.com/resources
ROI Calculator,https://www.close.com/tools/revenue-growth-calculator
Office Hours,https://www.close.com/office-hours
Help docs,https://help.close.com/
The 0 to $30M Blueprint,https://www.close.com/blueprint
Will vs Jen,https://www.close.com/willvsjen
Sales Playmaker,https://www.close.com/sales-playmaker
Product content,https://www.close.com/topic/product-content
Case studies,https://www.close.com/customers
Webinars,https://www.close.com/webinars
Product Tour,https://www.close.com/demo-site
Partner with Close,https://www.close.com/partners
About,https://www.close.com/about
Log in,https://app.close.com/login/
Try Close,https://app.close.com/signup/
