link_text,full_url
Products,https://www.pipedrive.com/en/products
See all sales software features,https://www.pipedrive.com/en/products/sales
Sales automation,https://www.pipedrive.com/en/products/sales/automations
Lead management,https://www.pipedrive.com/en/products/sales/leads
Insights and reports,https://www.pipedrive.com/en/features/insights-and-reports
Email and communications,https://www.pipedrive.com/en/products/sales/email-and-communications
CRM,https://www.pipedrive.com/en/products/what-is-crm
Pulse,https://www.pipedrive.com/en/products/sales-prospecting-software
See all email marketing features,https://www.pipedrive.com/en/products/email-marketing-software
Email builder,https://www.pipedrive.com/en/products/email-marketing-software/email-builder
Email segmentation,https://www.pipedrive.com/en/products/email-marketing-software/segmentation
Email analytics,https://www.pipedrive.com/en/products/email-marketing-software/email-analytics
Marketing automation,https://www.pipedrive.com/en/products/email-marketing-software/marketing-automation-tool
See all apps and integrations,https://www.pipedrive.com/en/marketplace
Attract new leads,https://www.pipedrive.com/en/marketplace/collections/attract-new-leads
Communicate with leads,https://www.pipedrive.com/en/marketplace/collections/communicate-with-leads
Manage contracts,https://www.pipedrive.com/en/marketplace/collections/create-proposals
About Marketplace,https://www.pipedrive.com/en/marketplace/about
See all AI-powered features,https://www.pipedrive.com/en/products/ai-crm
AI email writer,https://www.pipedrive.com/en/products/ai-crm/ai-email-writer
AI Sales Assistant,https://www.pipedrive.com/en/features/ai-sales-assistant
Pricing,https://www.pipedrive.com/en/pricing
See all comparisons,https://www.pipedrive.com/en/crm-comparison
HubSpot,https://www.pipedrive.com/en/crm-comparison/pipedrive-vs-hubspot
Salesforce,https://www.pipedrive.com/en/crm-comparison/pipedrive-vs-salesforce
Monday.com,https://www.pipedrive.com/en/crm-comparison/pipedrive-vs-monday
See all case studies,https://www.pipedrive.com/en/case-studies
Tiffany Largie,https://www.pipedrive.com/en/case-studies/tiffany-largie-case-study
AI Bees,https://www.pipedrive.com/en/case-studies/ai-bees-case-study
Big Dog Solar,https://www.pipedrive.com/en/case-studies/big-dog-solar-case-study
See all industries,https://www.pipedrive.com/en/industries
Real estate,https://www.pipedrive.com/en/industries/real-estate-crm
Travel agency,https://www.pipedrive.com/en/industries/travel-agency-crm
Nonprofit,https://www.pipedrive.com/en/industries/nonprofit-crm
See all roles,https://www.pipedrive.com/en/roles
Contact managers,https://www.pipedrive.com/en/roles/crm-for-contact-managers
Lead managers,https://www.pipedrive.com/en/roles/crm-for-lead-managers
Designers,https://www.pipedrive.com/en/roles/crm-design
Resources,https://www.pipedrive.com/en/resources
See all articles,https://www.pipedrive.com/en/blog
Sales,https://www.pipedrive.com/en/blog/learn/sales
Marketing,https://www.pipedrive.com/en/blog/learn/marketing
Product updates,https://www.pipedrive.com/en/blog/learn/product-updates
Start learning for free,https://learn.pipedrive.com/app
Video tutorials,https://learn.pipedrive.com/app/video-tutorials
Knowledge Base,https://support.pipedrive.com/en
Webinars,https://www.pipedrive.com/en/webinars
Become a partner,https://www.pipedrive.com/en/partner
Solution providers,https://www.pipedrive.com/en/solution-provider-partnership
Technology partners,https://www.pipedrive.com/en/marketplace/partners
Affiliate partners,https://www.pipedrive.com/en/affiliate-partnership
See developer hub,https://developers.pipedrive.com
API Reference,https://developers.pipedrive.com/docs/api/v1
Dev community,https://devcommunity.pipedrive.com
See all tools and downloads,https://www.pipedrive.com/en/resources/online-tools-free-downloads
Templates,https://www.pipedrive.com/en/resources/free-templates
Ebooks,https://www.pipedrive.com/en/resources/business-ebooks
About,https://www.pipedrive.com/en/about
Awards,https://www.pipedrive.com/en/saas-awards-crm-reviews
Learn more about careers,https://www.pipedrive.com/en/jobs
Open positions,https://www.pipedrive.com/en/jobs/open-positions
Early careers,https://www.pipedrive.com/en/jobs/early-careers
Check newsroom,https://www.pipedrive.com/en/newsroom
Press kit,https://www.pipedrive.com/en/newsroom/press-kit
Check status,https://status.pipedrive.com
Get help,https://support.pipedrive.com/en/contact-us
Explore onboarding support,https://www.pipedrive.com/en/products/sales/onboarding
Contact sales,https://www.pipedrive.com/en/contact-sales
Log in,https://app.pipedrive.com/auth/login
